code_op;nom_op;num_site;id_site_partage;id_station_anfr;x;y;latitude;longitude;nom_reg;nom_dep;insee_dep;nom_com;insee_com;site_2g;site_3g;site_4g;site_5g;mes_4g_trim;site_ZB;site_DCC;site_strategique;site_capa_240mbps;date_ouverturecommerciale_5g;site_5g_700_m_hz;site_5g_800_m_hz;site_5g_1800_m_hz;site_5g_2100_m_hz;site_5g_3500_m_hz
20801;Orange;00000001R1;;0272290011;573458;6899259;49,18056;1,26445;Normandie;Eure;27;Fontaine-Bellenger;27249;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00000001Z1;;0142290016;454237;6903487;49,18389;-0,37167;Normandie;Calvados;14;Caen;14118;1;1;1;1;0;0;0;0;1;2021-05-31;0;0;0;0;1
20801;Orange;00000003R1;;0762290018;560709;6927372;49,43055;1,08028;Normandie;Seine-Maritime;76;Rouen;76540;1;1;1;1;0;0;0;0;1;2022-07-21;0;0;0;0;1
20801;Orange;00000004Z1;;0142290003;496750;6915926;49,31055;0,205;Normandie;Calvados;14;Saint-Gatien-des-Bois;14578;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00000005Z1;;0142290018;499454;6927334;49,41389;0,23667;Normandie;Calvados;14;Honfleur;14333;1;1;1;1;0;0;0;0;1;2023-07-05;0;0;0;0;1
20801;Orange;00000006R1;;0272290009;519297;6921325;49,36584;0,5125;Normandie;Eure;27;Saint-Mards-de-Blacarville;27563;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00000006Z1;;0142290191;490586;6922642;49,36889;0,11694;Normandie;Calvados;14;Trouville-sur-Mer;14715;1;1;1;1;0;0;0;0;1;2022-05-31;0;0;0;0;1
20801;Orange;00000007R1;;0762290219;495336;6937995;49,50834;0,17472;Normandie;Seine-Maritime;76;Le Havre;76351;1;1;1;1;0;0;0;0;1;2021-10-12;0;0;0;0;1
20801;Orange;00000007Z1;;0142290187;475735;6913678;49,28333;-0,0825;Normandie;Calvados;14;Dives-sur-Mer;14225;1;1;1;1;0;0;0;0;1;2022-07-21;0;0;0;0;1
20801;Orange;00000008R1;;0762290026;554348;6911116;49,28306;0,99833;Normandie;Seine-Maritime;76;Elbeuf;76231;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00000008Z1;;0142290015;459699;6915812;49,29667;-0,30389;Normandie;Calvados;14;Hermanville-sur-Mer;14325;1;1;1;1;0;0;0;0;1;2023-12-14;0;0;0;0;1
20801;Orange;00000009R1;;0762290009;524804;6938933;49,52556;0,58084;Normandie;Seine-Maritime;76;La Frénaye;76281;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00000010R1;;0272290005;587070;6887789;49,08;1,45417;Normandie;Eure;27;Vernon;27681;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00000010Z1;;0142290023;474444;6892053;49,08861;-0,08861;Normandie;Calvados;14;Ouézy;14482;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00000011R1;;0272290012;567512;6907614;49,25445;1,18028;Normandie;Eure;27;Val-de-Reuil;27701;1;1;1;1;0;0;0;0;1;2022-03-24;0;0;0;0;1
20801;Orange;00000011Z1;;0142290012;494757;6898003;49,14889;0,1864;Normandie;Calvados;14;Saint-Désir;14574;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00000012Z1;;0142290021;435378;6894148;49,0925;-0,62417;Normandie;Calvados;14;Parfouru-sur-Odon;14491;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00000013R1;;0762290244;538220;6949268;49,62195;0,76194;Normandie;Seine-Maritime;76;Yvetot;76758;1;1;1;1;0;0;0;0;1;2022-04-29;0;0;0;0;1
20801;Orange;00000013Z1;;0502290113;411480;6881778;48,97111;-0,9425;Normandie;Manche;50;Torigny-les-Villes;50601;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00000014R1;;0762290360;557551;6955122;49,67916;1,02723;Normandie;Seine-Maritime;76;Tôtes;76700;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00000014Z1;;0502290112;395228;6877911;48,92888;-1,16139;Normandie;Manche;50;Percy-en-Normandie;50393;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00000015R1;;0762290015;587584;6962119;49,74805;1,44112;Normandie;Seine-Maritime;76;Neufchâtel-en-Bray;76462;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00000015Z1;;0502290007;380134;6851846;48,6875;-1,3475;Normandie;Manche;50;Saint-Senier-sous-Avranches;50554;1;1;1;1;0;0;0;0;1;2022-09-22;0;0;0;0;1
